Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 
  79 Year,15270,18966,16130,16149,18837,18517,17799,14538,12126,12381,14068,12567,11673,11152,10456,10485,10288,9432,8884,7831,7094,6553,7090,6745,6163,6218,5797,5941,5961,5576,5532,5474,5767,5837,5428,na,na,na,na,na,na,na,na,na,2803
  80 Year,18256,15595,15585,17915,17766,17200,13998,11642,11869,13457,11985,11196,10645,9984,9913,9766,8938,8400,7420,6761,6384,6535,6389,5788,5772,5360,5511,5471,5182,5137,5036,5298,5366,4990,4771,na,na,na,na,na,na,na,na,na,2362
  81 Year,14948,14994,17265,16836,16424,13378,11113,11366,12849,11424,10648,10140,9478,9395,9172,8518,7953,6967,6350,6050,6154,5849,5463,5433,4882,5058,4985,4711,4695,4648,4863,4950,4559,4387,3908,na,na,na,na,na,na,na,na,na,1784
  82 Year,14289,16480,16142,15514,12695,10599,10816,12214,10863,10054,9569,8940,8888,8662,7978,7543,6561,5968,5676,5757,5442,4968,5111,4582,4609,4545,4319,4259,4226,4436,4520,4172,3981,3559,3589,na,na,na,na,na,na,na,na,na,1530
  83 Year,15630,15268,14669,11942,9990,10263,11542,10232,9511,9013,8401,8346,8113,7477,7074,6147,5537,5277,5318,5060,4625,4601,4268,4298,4135,3885,3882,3806,4013,4078,3789,3633,3214,3238,3004,na,na,na,na,na,na,na,na,na,1229
  84 Year,14419,13828,11276,9348,9638,10853,9634,8887,8464,7837,7815,7577,6991,6627,5702,5169,4893,4907,4679,4251,4259,3830,3982,3796,3478,3498,3398,3611,3634,3391,3252,2898,2911,2683,2254,na,na,na,na,na,na,na,na,na,1000
  85 Year,12927,10535,8731,8952,10131,9032,8254,7862,7300,7181,7045,6498,6144,5322,4794,4504,4506,4299,3902,3899,3524,3550,3505,3208,3124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  86 Year,9791,8049,8252,9291,8362,7637,7257,6728,6647,6493,5999,5654,4891,4418,4171,4098,3906,3548,3550,3178,3248,3078,2928,2838,2649,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  87 Year,7380,7566,8485,7661,6986,6704,6152,6036,5933,5505,5161,4434,4013,3795,3753,3546,3198,3163,2897,2950,2772,2564,2540,2365,2468,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  88 Year,6872,7727,6930,6323,6073,5593,5504,5389,4998,4687,4037,3601,3436,3392,3171,2881,2836,2570,2650,2499,2284,2196,2123,2191,2155,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  89 Year,6936,6139,5550,5441,5034,4969,4824,4466,4208,3628,3244,3048,3019,2829,2592,2540,2288,2343,2207,1988,1950,1829,1951,1898,1696,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
